frame,tracked,inliers,ratio,parallax,status
1,492,454,0.922764,0.008346,GEOM_SKIP
2,492,463,0.941057,0.009385,GEOM_SKIP
3,492,456,0.926829,0.012009,GEOM_SKIP
4,492,456,0.926829,0.017026,GEOM_SKIP
5,492,466,0.947154,0.018202,GEOM_SKIP
6,490,463,0.944898,0.023911,GEOM_SKIP
7,490,472,0.963265,0.012561,GEOM_SKIP
8,490,468,0.955102,0.025093,GEOM_SKIP
9,490,481,0.981633,0.028020,GEOM_SKIP
10,490,466,0.951020,0.026847,GEOM_SKIP
11,490,471,0.961224,0.027681,GEOM_SKIP
12,490,480,0.979592,0.007067,GEOM_SKIP
13,490,460,0.938776,0.011098,GEOM_SKIP
14,490,472,0.963265,0.016067,GEOM_SKIP
15,490,467,0.953061,0.015065,GEOM_SKIP
16,490,468,0.955102,0.019147,GEOM_SKIP
17,490,475,0.969388,0.007417,GEOM_SKIP
18,483,466,0.964803,0.006238,GEOM_SKIP
19,483,480,0.993789,0.005331,GEOM_SKIP
20,483,465,0.962733,0.012996,GEOM_SKIP
21,483,454,0.939959,0.024688,GEOM_SKIP
22,482,448,0.929461,0.034701,GEOM_SKIP
23,481,453,0.941788,0.035654,GEOM_SKIP
24,481,454,0.943867,0.023294,GEOM_SKIP
25,481,458,0.952183,0.012428,GEOM_SKIP
26,481,465,0.966736,0.007826,GEOM_SKIP
27,481,466,0.968815,0.005019,GEOM_SKIP
28,481,474,0.985447,0.009130,GEOM_SKIP
29,481,467,0.970894,0.012159,GEOM_SKIP
30,480,467,0.972917,0.011115,GEOM_SKIP
31,480,472,0.983333,0.010585,GEOM_SKIP
32,480,475,0.989583,0.007857,GEOM_SKIP
33,480,475,0.989583,0.004958,GEOM_SKIP
34,473,451,0.953488,0.004443,GEOM_SKIP
35,473,464,0.980973,0.003370,GEOM_SKIP
36,473,466,0.985201,0.004551,GEOM_SKIP
37,473,465,0.983087,0.011592,GEOM_SKIP
38,473,470,0.993658,0.012948,GEOM_SKIP
39,473,465,0.983087,0.014236,GEOM_SKIP
40,473,465,0.983087,0.011782,GEOM_SKIP
41,473,460,0.972516,0.022875,GEOM_SKIP
42,473,453,0.957717,0.024193,GEOM_SKIP
43,473,463,0.978858,0.016516,GEOM_SKIP
44,473,460,0.972516,0.005759,GEOM_SKIP
45,473,445,0.940803,0.028534,GEOM_SKIP
46,473,447,0.945032,0.032974,GEOM_SKIP
47,473,443,0.936575,0.021869,GEOM_SKIP
48,473,456,0.964059,0.006084,GEOM_SKIP
49,473,461,0.974630,0.010528,GEOM_SKIP
50,473,459,0.970402,0.006653,GEOM_SKIP
51,473,467,0.987315,0.007030,GEOM_SKIP
52,473,466,0.985201,0.014883,GEOM_SKIP
53,473,458,0.968288,0.018374,GEOM_SKIP
54,473,458,0.968288,0.025028,GEOM_SKIP
55,473,452,0.955603,0.021276,GEOM_SKIP
56,473,464,0.980973,0.011746,GEOM_SKIP
57,473,465,0.983087,0.004643,GEOM_SKIP
58,457,440,0.962801,0.011043,GEOM_SKIP
59,457,449,0.982495,0.016821,GEOM_SKIP
60,457,441,0.964989,0.022150,GEOM_SKIP
61,457,443,0.969365,0.017489,GEOM_SKIP
62,457,442,0.967177,0.008529,GEOM_SKIP
63,457,446,0.975930,0.004363,GEOM_SKIP
64,457,438,0.958425,0.012608,GEOM_SKIP
65,457,444,0.971554,0.011501,GEOM_SKIP
66,457,447,0.978118,0.008718,GEOM_SKIP
67,457,450,0.984683,0.005474,GEOM_SKIP
68,457,444,0.971554,0.003497,GEOM_SKIP
69,457,442,0.967177,0.002915,GEOM_SKIP
70,457,446,0.975930,0.002304,GEOM_SKIP
71,457,435,0.951860,0.006451,GEOM_SKIP
72,457,445,0.973742,0.006739,GEOM_SKIP
73,457,449,0.982495,0.005341,GEOM_SKIP
74,457,441,0.964989,0.012996,GEOM_SKIP
75,457,440,0.962801,0.016542,GEOM_SKIP
76,457,447,0.978118,0.013831,GEOM_SKIP
77,457,451,0.986871,0.009152,GEOM_SKIP
78,457,448,0.980306,0.005784,GEOM_SKIP
79,457,445,0.973742,0.002289,GEOM_SKIP
80,457,455,0.995624,0.002420,GEOM_SKIP
81,457,450,0.984683,0.002279,GEOM_SKIP
82,457,455,0.995624,0.001599,GEOM_SKIP
83,457,0,0.000000,0.001345,GEOM_SKIP
84,457,451,0.986871,0.003120,GEOM_SKIP
85,457,450,0.984683,0.003024,GEOM_SKIP
86,457,450,0.984683,0.002819,GEOM_SKIP
87,457,449,0.982495,0.003192,GEOM_SKIP
88,457,452,0.989059,0.003450,GEOM_SKIP
89,457,450,0.984683,0.003841,GEOM_SKIP
90,457,452,0.989059,0.002613,GEOM_SKIP
91,457,448,0.980306,0.002866,GEOM_SKIP
92,457,454,0.993435,0.003325,GEOM_SKIP
93,457,450,0.984683,0.003938,GEOM_SKIP
94,457,452,0.989059,0.003926,GEOM_SKIP
95,457,452,0.989059,0.001836,GEOM_SKIP
96,457,453,0.991247,0.002368,GEOM_SKIP
97,457,452,0.989059,0.003687,GEOM_SKIP
98,457,455,0.995624,0.004275,GEOM_SKIP
99,457,454,0.993435,0.003714,GEOM_SKIP
100,457,452,0.989059,0.002115,GEOM_SKIP
101,457,452,0.989059,0.003224,GEOM_SKIP
102,457,445,0.973742,0.004167,GEOM_SKIP
103,457,446,0.975930,0.005213,GEOM_SKIP
104,457,444,0.971554,0.004374,GEOM_SKIP
105,457,447,0.978118,0.002149,GEOM_SKIP
106,457,0,0.000000,0.001282,GEOM_SKIP
107,457,446,0.975930,0.003934,GEOM_SKIP
108,457,452,0.989059,0.005436,GEOM_SKIP
109,457,451,0.986871,0.005887,GEOM_SKIP
110,457,446,0.975930,0.004515,GEOM_SKIP
111,457,449,0.982495,0.003952,GEOM_SKIP
112,457,449,0.982495,0.002017,GEOM_SKIP
113,457,0,0.000000,0.001098,GEOM_SKIP
114,457,0,0.000000,0.001017,GEOM_SKIP
115,457,453,0.991247,0.001760,GEOM_SKIP
116,457,452,0.989059,0.002311,GEOM_SKIP
117,457,452,0.989059,0.002969,GEOM_SKIP
118,457,454,0.993435,0.003591,GEOM_SKIP
119,457,444,0.971554,0.003426,GEOM_SKIP
120,457,446,0.975930,0.002376,GEOM_SKIP
121,457,449,0.982495,0.001673,GEOM_SKIP
122,457,0,0.000000,0.001467,GEOM_SKIP
123,457,450,0.984683,0.004304,GEOM_SKIP
124,457,449,0.982495,0.006291,GEOM_SKIP
125,457,447,0.978118,0.005648,GEOM_SKIP
126,457,448,0.980306,0.003421,GEOM_SKIP
127,457,450,0.984683,0.002304,GEOM_SKIP
128,456,444,0.973684,0.002957,GEOM_SKIP
129,456,454,0.995614,0.002197,GEOM_SKIP
130,456,445,0.975877,0.004957,GEOM_SKIP
131,456,446,0.978070,0.008400,GEOM_SKIP
132,456,443,0.971491,0.010108,GEOM_SKIP
133,456,440,0.964912,0.007716,GEOM_SKIP
134,456,450,0.986842,0.015290,OK
135,456,432,0.947368,0.029749,OK
136,456,433,0.949561,0.035323,OK
137,456,426,0.934211,0.045345,OK
138,451,408,0.904656,0.044122,OK
139,428,373,0.871495,0.041657,OK
140,428,387,0.904206,0.042107,OK
141,428,396,0.925234,0.041434,OK
142,427,383,0.896956,0.039525,OK
143,427,384,0.899297,0.054850,OK
144,407,352,0.864865,0.069781,OK
145,403,361,0.895782,0.076681,OK
146,396,349,0.881313,0.073872,OK
147,388,365,0.940722,0.058909,OK
148,320,241,0.753125,0.054590,OK
149,315,286,0.907937,0.059797,OK
150,315,281,0.892063,0.060985,OK
151,313,284,0.907348,0.056092,OK
152,308,276,0.896104,0.052471,OK
153,302,266,0.880795,0.046759,OK
154,295,275,0.932203,0.037430,OK
155,295,265,0.898305,0.033641,OK
156,293,245,0.836177,0.038043,OK
157,292,261,0.893836,0.042475,OK
158,292,268,0.917808,0.039673,OK
159,292,260,0.890411,0.035109,OK
160,292,260,0.890411,0.031086,OK
161,292,260,0.890411,0.032275,OK
162,292,255,0.873288,0.035195,OK
163,291,253,0.869416,0.041344,OK
164,291,241,0.828179,0.038942,OK
165,254,190,0.748031,0.036538,OK
166,254,234,0.921260,0.036289,OK
167,254,237,0.933071,0.037017,OK
168,254,227,0.893701,0.039811,OK
169,254,232,0.913386,0.042263,OK
170,254,240,0.944882,0.040624,OK
171,254,230,0.905512,0.042324,OK
172,254,232,0.913386,0.044104,OK
173,253,218,0.861660,0.053719,OK
174,253,223,0.881423,0.058964,OK
175,253,233,0.920949,0.061983,OK
176,253,218,0.861660,0.055225,OK
177,253,222,0.877470,0.068119,OK
178,253,217,0.857708,0.078226,OK
179,253,217,0.857708,0.077566,OK
180,253,219,0.865613,0.064786,OK
181,253,217,0.857708,0.048947,OK
182,253,218,0.861660,0.051864,OK
183,253,216,0.853755,0.062288,OK
184,253,213,0.841897,0.057923,OK
185,253,216,0.853755,0.067987,OK
186,252,204,0.809524,0.081303,OK
187,248,208,0.838710,0.085126,OK
188,246,203,0.825203,0.088579,OK
189,238,195,0.819328,0.080583,OK
190,237,209,0.881857,0.072311,OK
191,235,203,0.863830,0.068542,OK
192,227,196,0.863436,0.065188,OK
193,221,190,0.859729,0.055562,OK
194,218,188,0.862385,0.034199,GEOM_SKIP
195,218,188,0.862385,0.032965,OK
196,218,176,0.807339,0.059279,GEOM_SKIP
197,218,182,0.834862,0.083032,OK
198,218,189,0.866972,0.093668,OK
199,218,184,0.844037,0.069339,OK
200,218,192,0.880734,0.058381,OK
201,218,195,0.894495,0.048672,OK
202,218,190,0.871560,0.047132,OK
203,218,185,0.848624,0.056612,OK
204,218,206,0.944954,0.048421,OK
205,176,155,0.880682,0.049341,OK
206,465,381,0.819355,0.073620,OK
207,458,386,0.842795,0.070815,OK
208,458,386,0.842795,0.091787,OK
209,451,367,0.813747,0.101640,OK
210,442,358,0.809955,0.107277,OK
211,416,362,0.870192,0.101662,OK
212,393,344,0.875318,0.086772,OK
213,379,331,0.873351,0.089078,OK
214,325,220,0.676923,0.099768,OK
215,324,266,0.820988,0.095402,OK
216,315,272,0.863492,0.086158,OK
217,304,262,0.861842,0.083082,OK
218,288,248,0.861111,0.082483,OK
219,283,242,0.855124,0.075251,OK
220,267,231,0.865169,0.088574,OK
221,248,210,0.846774,0.093513,OK
222,228,159,0.697368,0.119155,OK
223,221,190,0.859729,0.102490,OK
224,217,184,0.847926,0.097226,OK
225,207,180,0.869565,0.094603,OK
226,201,171,0.850746,0.097408,OK
227,201,166,0.825871,0.104349,OK
228,201,175,0.870647,0.111621,OK
229,198,161,0.813131,0.123812,OK
230,119,95,0.798319,0.119418,OK
231,520,404,0.776923,0.129773,OK
232,496,406,0.818548,0.119199,OK
233,461,363,0.787419,0.115461,OK
234,442,342,0.773756,0.126455,OK
235,407,316,0.776413,0.138078,OK
236,377,308,0.816976,0.118723,OK
237,367,322,0.877384,0.088531,OK
238,250,171,0.684000,0.062862,OK
239,233,218,0.935622,0.064605,OK
240,230,212,0.921739,0.071609,OK
241,200,195,0.975000,0.072935,OK
242,200,185,0.925000,0.076503,OK
243,200,200,1.000000,0.078601,OK
244,200,189,0.945000,0.080084,OK
245,200,193,0.965000,0.062160,GEOM_SKIP
246,185,145,0.783784,0.020373,GEOM_SKIP
247,185,185,1.000000,0.054563,OK
248,185,182,0.983784,0.144809,OK
249,185,170,0.918919,0.186777,OK
250,173,151,0.872832,0.194493,OK
251,333,226,0.678679,0.303256,OK
252,297,209,0.703704,0.233766,OK
253,291,222,0.762887,0.199161,OK
254,279,228,0.817204,0.175895,OK
255,209,146,0.698565,0.149141,OK
256,202,164,0.811881,0.140973,OK
257,201,169,0.840796,0.136997,OK
258,201,167,0.830846,0.143055,OK
259,201,164,0.815920,0.144307,OK
260,201,149,0.741294,0.121991,OK
261,201,147,0.731343,0.114817,OK
262,201,147,0.731343,0.127835,OK
263,200,149,0.745000,0.150831,OK
264,200,143,0.715000,0.182073,OK
265,200,147,0.735000,0.162240,OK
266,198,157,0.792929,0.083057,OK
267,198,155,0.782828,0.093024,OK
268,198,160,0.808081,0.163433,OK
269,198,162,0.818182,0.136405,OK
270,198,181,0.914141,0.102370,OK
271,183,148,0.808743,0.078260,OK
272,183,173,0.945355,0.055708,OK
273,183,182,0.994536,0.015088,OK
274,183,170,0.928962,0.046624,OK
275,183,177,0.967213,0.097251,OK
276,183,156,0.852459,0.141919,OK
277,183,155,0.846995,0.159855,OK
278,183,149,0.814208,0.150846,OK
279,183,163,0.890710,0.143932,OK
280,183,155,0.846995,0.151705,OK
281,155,131,0.845161,0.154767,OK
282,473,387,0.818182,0.218747,OK
283,449,366,0.815145,0.184100,OK
284,417,352,0.844125,0.159160,OK
285,409,345,0.843521,0.087110,OK
286,409,357,0.872861,0.021129,OK
287,390,302,0.774359,0.058270,OK
288,383,327,0.853786,0.103524,OK
289,379,333,0.878628,0.120720,OK
290,356,306,0.859551,0.132338,OK
291,337,288,0.854599,0.118959,OK
292,334,292,0.874251,0.091142,OK
293,329,305,0.927052,0.064197,OK
294,313,296,0.945687,0.037492,OK
295,307,253,0.824104,0.036263,OK
296,307,288,0.938111,0.029410,OK
297,307,285,0.928339,0.031978,OK
298,306,281,0.918301,0.046152,OK
299,304,260,0.855263,0.106780,OK
300,304,237,0.779605,0.161579,OK
301,304,259,0.851974,0.205905,OK
302,304,263,0.865132,0.167526,GEOM_SKIP
303,304,265,0.871711,0.136368,GEOM_SKIP
304,291,226,0.776632,0.134254,OK
305,284,232,0.816901,0.110074,OK
306,284,224,0.788732,0.088116,OK
307,283,250,0.883392,0.061526,OK
308,282,255,0.904255,0.066350,OK
309,282,223,0.790780,0.098773,OK
310,282,231,0.819149,0.114911,OK
311,282,228,0.808511,0.132832,OK
312,282,217,0.769504,0.116031,OK
313,282,228,0.808511,0.098275,OK
314,282,245,0.868794,0.094753,OK
315,282,240,0.851064,0.106285,OK
316,282,246,0.872340,0.089122,OK
317,282,273,0.968085,0.035755,OK
318,282,271,0.960993,0.090136,OK
319,280,241,0.860714,0.151444,OK
320,258,221,0.856589,0.155804,OK
321,257,229,0.891051,0.141644,OK
322,256,246,0.960938,0.129707,OK
323,241,224,0.929461,0.124382,OK
324,212,194,0.915094,0.076465,OK
325,209,190,0.909091,0.048703,OK
326,209,191,0.913876,0.036750,OK
327,209,187,0.894737,0.085850,OK
328,207,166,0.801932,0.126599,OK
329,207,175,0.845411,0.141500,OK
330,207,173,0.835749,0.160199,OK
331,203,167,0.822660,0.169255,OK
332,202,163,0.806931,0.167975,OK
333,196,165,0.841837,0.155854,OK
334,188,169,0.898936,0.140364,OK
335,187,167,0.893048,0.102742,OK
336,178,137,0.769663,0.095939,OK
337,294,215,0.731293,0.136078,OK
338,252,178,0.706349,0.170622,OK
339,215,156,0.725581,0.167708,OK
340,202,151,0.747525,0.160081,OK
341,194,146,0.752577,0.155246,OK
342,185,141,0.762162,0.128295,OK
343,174,134,0.770115,0.106491,OK
344,392,312,0.795918,0.131355,OK
345,299,199,0.665552,0.178232,OK
346,298,227,0.761745,0.180205,OK
347,294,256,0.870748,0.170977,OK
348,281,233,0.829181,0.170743,OK
349,266,232,0.872180,0.151873,OK
350,258,212,0.821705,0.126011,GEOM_SKIP
351,247,205,0.829960,0.088275,GEOM_SKIP
352,245,193,0.787755,0.071354,GEOM_SKIP
353,235,179,0.761702,0.069215,OK
354,232,181,0.780172,0.076066,GEOM_SKIP
355,225,181,0.804444,0.073120,OK
356,225,190,0.844444,0.091372,OK
357,224,209,0.933036,0.147849,OK
358,223,206,0.923767,0.198917,OK
359,223,194,0.869955,0.236641,OK
360,209,189,0.904306,0.221371,OK
361,209,163,0.779904,0.178990,OK
362,209,167,0.799043,0.151132,OK
363,207,170,0.821256,0.146600,OK
364,142,113,0.795775,0.135808,OK
365,344,185,0.537791,0.131823,GEOM_SKIP
366,313,198,0.632588,0.114132,OK
367,296,208,0.702703,0.101100,OK
368,294,239,0.812925,0.081788,OK
369,258,195,0.755814,0.107696,OK
370,255,216,0.847059,0.133353,OK
371,254,223,0.877953,0.168468,OK
372,254,227,0.893701,0.180600,OK
373,243,206,0.847737,0.201157,GEOM_SKIP
374,224,196,0.875000,0.194506,OK
375,218,184,0.844037,0.161453,OK
376,216,173,0.800926,0.145308,OK
377,198,160,0.808081,0.129378,OK
378,194,150,0.773196,0.110464,OK
379,194,153,0.788660,0.076072,OK
380,192,154,0.802083,0.064494,OK
381,190,167,0.878947,0.111331,OK
382,190,182,0.957895,0.131047,OK
383,176,160,0.909091,0.136805,OK
384,373,290,0.777480,0.162183,OK
385,336,277,0.824405,0.129191,OK
386,332,280,0.843373,0.105122,OK
387,327,300,0.917431,0.079226,OK
388,326,301,0.923313,0.054765,OK
389,326,305,0.935583,0.056316,OK
390,326,304,0.932515,0.102586,OK
391,323,299,0.925697,0.126720,OK
392,318,283,0.889937,0.107361,OK
393,314,267,0.850318,0.110575,OK
394,309,272,0.880259,0.130944,OK
395,297,250,0.841751,0.138064,OK
396,279,250,0.896057,0.134817,OK
397,267,245,0.917603,0.126000,OK
398,260,229,0.880769,0.107982,OK
399,248,227,0.915323,0.089584,OK
400,239,218,0.912134,0.088085,OK
401,227,211,0.929515,0.105951,OK
402,196,176,0.897959,0.139151,OK
403,192,186,0.968750,0.155737,OK
404,192,178,0.927083,0.155167,OK
405,182,169,0.928571,0.131945,OK
406,180,167,0.927778,0.127122,OK
407,176,157,0.892045,0.144399,OK
408,353,282,0.798867,0.137635,OK
409,348,276,0.793103,0.101202,OK
