frame,tracked,pnp_inliers,err_norm,err_px_med,err_px_max,valid_depth,landmarks,status
0,0,0,0.000000,0.000000,0.000000,0,0,INIT0
3,112,0,0.000000,0.000000,0.000000,0,112,INIT_OK
4,112,112,0.001171,0.087967,0.880334,112,67,ITER_PNP_OK_REBUILD
5,67,67,0.001559,0.097273,0.355026,67,67,ITER_PNP_OK
6,67,64,0.001907,0.133818,0.382821,64,64,ITER_PNP_OK
7,64,63,0.001993,0.146750,0.439616,63,43,ITER_PNP_OK_REBUILD
8,43,31,0.004622,0.098745,0.419059,31,69,ITER_PNP_OK_REBUILD
9,69,69,0.000926,0.066766,0.295243,69,69,ITER_PNP_OK
10,69,69,0.001355,0.094965,0.404370,69,27,ITER_PNP_OK_REBUILD
11,27,0,999.000000,999.000000,999.000000,0,46,E_FALLBACK_PNP
12,46,42,0.003326,0.107355,1.204485,42,61,ITER_PNP_OK_REBUILD
13,61,55,0.001435,0.153681,0.314863,55,55,ITER_PNP_OK
14,55,51,0.005075,0.463941,1.509515,51,34,ITER_PNP_OK_REBUILD
15,34,34,0.001642,0.074450,0.347406,34,47,ITER_PNP_OK_REBUILD
16,47,44,0.004670,0.074772,0.576323,44,27,ITER_PNP_OK_REBUILD
17,27,27,0.001011,0.163561,0.398258,27,36,ITER_PNP_OK_REBUILD
18,36,34,0.000965,0.142948,0.460597,34,84,ITER_PNP_OK_REBUILD
19,84,79,0.002200,0.197095,0.623902,79,79,ITER_PNP_OK
20,79,74,0.002552,0.197990,0.716608,74,74,ITER_PNP_OK
21,74,72,0.000971,0.067633,0.422287,72,85,ITER_PNP_OK_REBUILD
22,85,79,0.001143,0.161884,0.453718,79,72,ITER_PNP_OK_REBUILD
23,72,71,0.000968,0.104097,0.367481,71,56,ITER_PNP_OK_REBUILD
24,56,48,0.004349,0.161780,0.524422,48,92,ITER_PNP_OK_REBUILD
25,92,87,0.001019,0.046763,0.222326,87,36,ITER_PNP_OK_REBUILD
26,36,36,0.005160,0.152936,0.467554,36,36,ITER_PNP_OK
27,36,29,0.006292,0.210868,0.655894,29,29,ITER_PNP_OK
28,29,26,0.006743,0.188291,1.088994,26,26,ITER_PNP_OK
29,26,0,999.000000,999.000000,999.000000,0,26,PNP_FAIL_TOTAL
32,28,0,999.000000,999.000000,999.000000,0,28,STRONG_RESET_PNP
33,28,25,0.007252,0.076745,0.386756,25,38,ITER_PNP_OK_REBUILD
34,38,27,0.006580,0.087843,0.487460,27,36,ITER_PNP_OK_REBUILD
35,36,33,0.005281,0.046757,0.633245,33,49,ITER_PNP_OK_REBUILD
36,49,45,0.001087,0.131029,0.350259,45,45,ITER_PNP_OK
37,45,44,0.001040,0.084653,0.347853,44,44,ITER_PNP_OK
