frame,tracked,inliers,ratio,parallax,status
1,1782,1646,0.923681,0.007243,OK
2,1782,1588,0.891134,0.009047,HOLD_GEOM
3,1781,1575,0.884335,0.011742,OK
4,1781,1563,0.877597,0.013076,OK
5,1781,1579,0.886581,0.012805,OK
6,1789,1615,0.902739,0.012201,OK
7,1788,1577,0.881991,0.009888,OK
8,1787,1576,0.881925,0.013960,OK
9,1784,1483,0.831278,0.019450,OK
10,1781,1466,0.823133,0.016352,OK
11,1781,1550,0.870298,0.012287,OK
12,1774,1480,0.834273,0.021738,OK
13,1767,1516,0.857951,0.012813,OK
14,1758,1324,0.753129,0.011401,OK
15,1752,1491,0.851027,0.012851,OK
16,1776,1428,0.804054,0.015520,OK
17,1766,1422,0.805210,0.017403,OK
18,1760,1469,0.834659,0.020617,OK
19,1759,1497,0.851052,0.021874,OK
20,1759,1538,0.874360,0.025884,OK
21,1789,1562,0.873113,0.013803,OK
22,1782,1439,0.807520,0.021952,OK
23,1778,1537,0.864454,0.020822,OK
24,1771,1536,0.867307,0.027272,OK
25,1769,1505,0.850763,0.034660,OK
26,1777,1556,0.875633,0.037134,OK
27,1771,1524,0.860531,0.034690,OK
28,1764,1555,0.881519,0.029931,OK
29,1753,1491,0.850542,0.023345,OK
30,1742,1507,0.865098,0.024568,OK
31,1780,1425,0.800562,0.020348,OK
32,1763,1528,0.866704,0.025692,OK
33,1747,1422,0.813967,0.031611,OK
34,1731,1450,0.837666,0.020388,OK
35,1685,1370,0.813056,0.028742,OK
36,1754,1384,0.789054,0.040328,OK
37,1747,1442,0.825415,0.027008,OK
38,1739,1427,0.820587,0.028587,OK
39,1731,1406,0.812247,0.027456,OK
40,1720,1442,0.838372,0.031837,OK
41,1779,1457,0.818999,0.026773,OK
42,1771,1435,0.810277,0.019459,OK
43,1763,1426,0.808849,0.016154,OK
44,1755,1401,0.798291,0.016163,OK
45,1746,1393,0.797824,0.017472,OK
46,1771,1397,0.788820,0.020083,OK
47,1768,1368,0.773756,0.018616,OK
48,1763,1349,0.765173,0.039042,OK
49,1758,1377,0.783276,0.028542,OK
50,1755,1412,0.804558,0.035006,OK
51,1789,1382,0.772499,0.042300,OK
52,1789,1344,0.751258,0.040899,OK
53,1787,1465,0.819810,0.041048,OK
54,1783,1427,0.800337,0.042471,OK
55,1780,1422,0.798876,0.038911,OK
56,1789,1467,0.820011,0.033634,OK
57,1788,1526,0.853468,0.020206,OK
58,1786,1690,0.946249,0.013083,OK
59,1785,1574,0.881793,0.015330,OK
60,1782,1555,0.872615,0.013886,OK
61,1787,1501,0.839955,0.024104,OK
62,1783,1432,0.803141,0.027528,OK
63,1775,1250,0.704225,0.029260,OK
64,1761,1415,0.803521,0.030132,OK
65,1756,1342,0.764237,0.018858,OK
66,1786,1424,0.797312,0.018778,OK
67,1777,1378,0.775464,0.026450,OK
68,1768,1349,0.763009,0.020307,OK
69,1759,1403,0.797612,0.020126,OK
70,1753,1356,0.773531,0.028456,OK
71,1775,1306,0.735775,0.042364,OK
72,1742,1292,0.741676,0.054095,OK
73,1730,1340,0.774566,0.054942,OK
74,1727,1263,0.731326,0.055096,OK
75,1716,1287,0.750000,0.059495,OK
76,1770,1428,0.806780,0.063482,OK
77,1685,1252,0.743027,0.076955,OK
78,1602,1092,0.681648,0.087421,OK
79,1547,1081,0.698772,0.089867,OK
80,1512,1113,0.736111,0.089183,OK
81,1731,1252,0.723281,0.073721,OK
82,1664,1222,0.734375,0.062752,OK
83,1629,1228,0.753837,0.053709,OK
84,1594,1230,0.771644,0.062118,OK
85,1577,1234,0.782498,0.074038,OK
86,1766,1426,0.807475,0.070169,OK
87,1738,1370,0.788262,0.076617,OK
