frame,tracked,pnp_inliers,err_norm,err_px_med,err_px_max,valid_depth,landmarks,status
0,0,0,0.000000,0.000000,0.000000,0,0,INIT0
3,699,0,0.000000,0.000000,0.000000,0,699,INIT_OK
4,699,692,0.000945,0.116680,0.581374,692,692,ITER_PNP_OK
5,692,684,0.001286,0.157575,0.851003,684,684,ITER_PNP_OK
6,684,666,0.001461,0.188815,1.477252,666,666,ITER_PNP_OK
7,666,665,0.001769,0.227651,1.551954,665,665,ITER_PNP_OK
8,665,655,0.002197,0.288268,1.660455,655,655,ITER_PNP_OK
9,655,648,0.002565,0.350990,2.120720,648,648,ITER_PNP_OK
10,648,606,0.003020,0.418942,2.435203,606,606,ITER_PNP_OK
11,606,568,0.004145,0.517213,3.088197,568,568,ITER_PNP_OK
12,568,547,0.004434,0.596856,3.601606,547,547,ITER_PNP_OK
13,547,519,0.004842,0.624154,3.614154,519,519,ITER_PNP_OK
14,517,489,0.004532,0.589243,3.528144,489,489,ITER_PNP_OK
15,489,434,0.004172,0.587162,3.400291,434,434,ITER_PNP_OK
16,434,419,0.004431,0.673918,3.340925,419,419,ITER_PNP_OK
17,419,392,0.005020,0.755915,3.642120,392,392,ITER_PNP_OK
18,392,366,0.005459,0.888745,3.520749,366,366,ITER_PNP_OK
19,366,353,0.005838,0.964991,3.326865,353,353,ITER_PNP_OK
20,353,352,0.006270,1.047202,3.731812,352,731,ITER_PNP_OK_REBUILD
21,731,730,0.000949,0.099319,0.541356,730,730,ITER_PNP_OK
22,730,721,0.001555,0.147191,0.781280,721,721,ITER_PNP_OK
23,721,705,0.001839,0.184822,1.051057,705,705,ITER_PNP_OK
24,705,682,0.002407,0.223955,1.227503,682,682,ITER_PNP_OK
25,682,681,0.002940,0.268591,1.463729,681,681,ITER_PNP_OK
26,681,671,0.003379,0.311497,1.599106,671,671,ITER_PNP_OK
27,671,644,0.003262,0.332847,1.530436,644,644,ITER_PNP_OK
28,644,635,0.003696,0.373627,1.805173,635,635,ITER_PNP_OK
29,635,632,0.004203,0.431539,1.984599,632,632,ITER_PNP_OK
30,632,609,0.004433,0.462834,2.122195,609,609,ITER_PNP_OK
31,609,608,0.004856,0.507803,2.271091,608,608,ITER_PNP_OK
32,608,573,0.004892,0.554437,2.454143,573,573,ITER_PNP_OK
33,573,573,0.005332,0.602195,2.708711,573,573,ITER_PNP_OK
34,573,563,0.005652,0.640427,2.973583,563,563,ITER_PNP_OK
35,549,516,0.005965,0.670635,3.381609,516,516,ITER_PNP_OK
36,516,493,0.006488,0.721285,3.821552,493,493,ITER_PNP_OK
37,493,466,0.006542,0.754888,4.019789,466,466,ITER_PNP_OK
38,466,426,0.006185,0.731646,4.137873,426,426,ITER_PNP_OK
39,426,397,0.006338,0.736134,3.775180,397,397,ITER_PNP_OK
40,397,386,0.006877,0.778324,3.727690,386,695,ITER_PNP_OK_REBUILD
41,695,692,0.001002,0.101340,1.429037,692,692,ITER_PNP_OK
42,692,689,0.001501,0.162337,2.220542,689,689,ITER_PNP_OK
43,689,687,0.002054,0.209039,2.061258,687,687,ITER_PNP_OK
44,687,645,0.002496,0.236224,2.825970,645,645,ITER_PNP_OK
45,645,638,0.002820,0.287376,3.719221,638,638,ITER_PNP_OK
46,638,626,0.002880,0.302020,3.236667,626,626,ITER_PNP_OK
47,626,591,0.003475,0.357789,3.941916,591,591,ITER_PNP_OK
48,591,577,0.003932,0.396492,4.110290,577,577,ITER_PNP_OK
49,568,519,0.004523,0.471042,3.752542,519,519,ITER_PNP_OK
50,519,492,0.004632,0.481652,4.302544,492,492,ITER_PNP_OK
51,492,482,0.005016,0.518803,4.148198,482,482,ITER_PNP_OK
52,482,480,0.005362,0.579572,4.588717,480,480,ITER_PNP_OK
53,480,445,0.005134,0.589649,4.512496,445,445,ITER_PNP_OK
54,445,432,0.005638,0.611596,4.180090,432,432,ITER_PNP_OK
55,432,427,0.006220,0.652889,4.191610,427,427,ITER_PNP_OK
