frame,tracked,inliers,ratio,parallax,status
1,425,409,0.962353,0.010112,GEOM_SKIP
2,425,416,0.978824,0.016546,GEOM_SKIP
3,425,410,0.964706,0.018598,GEOM_SKIP
4,425,408,0.960000,0.009487,GEOM_SKIP
5,425,419,0.985882,0.009058,GEOM_SKIP
6,425,418,0.983529,0.013483,GEOM_SKIP
7,425,411,0.967059,0.013653,GEOM_SKIP
8,425,413,0.971765,0.005821,GEOM_SKIP
9,425,412,0.969412,0.013666,GEOM_SKIP
10,424,412,0.971698,0.022125,GEOM_SKIP
11,424,403,0.950472,0.035848,GEOM_SKIP
12,424,409,0.964623,0.012963,GEOM_SKIP
13,424,417,0.983491,0.024914,GEOM_SKIP
14,424,406,0.957547,0.020687,GEOM_SKIP
15,424,413,0.974057,0.005215,GEOM_SKIP
16,424,420,0.990566,0.004256,GEOM_SKIP
17,424,411,0.969340,0.010071,GEOM_SKIP
18,422,403,0.954976,0.009746,GEOM_SKIP
19,422,413,0.978673,0.008737,GEOM_SKIP
20,422,414,0.981043,0.011193,GEOM_SKIP
21,422,412,0.976303,0.010718,GEOM_SKIP
22,422,414,0.981043,0.009934,GEOM_SKIP
23,421,411,0.976247,0.014176,GEOM_SKIP
24,421,408,0.969121,0.017338,GEOM_SKIP
25,421,414,0.983373,0.004572,GEOM_SKIP
26,420,410,0.976190,0.002720,GEOM_SKIP
27,419,412,0.983294,0.005350,GEOM_SKIP
28,419,409,0.976134,0.008503,GEOM_SKIP
29,419,411,0.980907,0.008289,GEOM_SKIP
30,419,419,1.000000,0.007833,GEOM_SKIP
31,419,413,0.985680,0.005376,GEOM_SKIP
32,419,403,0.961814,0.005361,GEOM_SKIP
33,419,409,0.976134,0.008648,GEOM_SKIP
34,419,412,0.983294,0.008031,GEOM_SKIP
35,419,412,0.983294,0.006072,GEOM_SKIP
36,419,412,0.983294,0.007546,GEOM_SKIP
37,419,408,0.973747,0.008517,GEOM_SKIP
38,419,414,0.988067,0.008719,GEOM_SKIP
39,419,412,0.983294,0.004445,GEOM_SKIP
40,419,408,0.973747,0.007282,GEOM_SKIP
41,419,408,0.973747,0.017808,GEOM_SKIP
42,419,400,0.954654,0.028845,GEOM_SKIP
43,419,386,0.921241,0.032314,GEOM_SKIP
44,419,401,0.957041,0.022613,GEOM_SKIP
45,419,412,0.983294,0.003507,GEOM_SKIP
46,419,405,0.966587,0.024174,GEOM_SKIP
47,419,400,0.954654,0.029567,GEOM_SKIP
48,419,408,0.973747,0.019013,GEOM_SKIP
49,419,413,0.985680,0.005933,GEOM_SKIP
