frame,tracked,pnp_inliers,err_norm,err_px_med,err_px_max,valid_depth,landmarks,status
0,0,0,0.000000,0.000000,0.000000,0,0,INIT0
7,149,0,0.000000,0.000000,0.000000,0,149,INIT_OK
8,149,147,0.000864,0.108062,0.286822,147,147,ITER_PNP_OK
9,147,147,0.000726,0.088910,0.381406,147,147,ITER_PNP_OK
10,147,141,0.000583,0.065392,0.522998,141,141,ITER_PNP_OK
11,141,140,0.001225,0.113532,0.677079,140,140,ITER_PNP_OK
12,140,139,0.001225,0.101503,0.575728,139,139,ITER_PNP_OK
13,139,139,0.000976,0.085456,0.617567,139,139,ITER_PNP_OK
14,139,139,0.001086,0.098896,0.571978,139,139,ITER_PNP_OK
15,139,138,0.001351,0.145006,0.697060,138,138,ITER_PNP_OK
16,138,138,0.001043,0.120141,0.669930,138,138,ITER_PNP_OK
17,138,137,0.000836,0.107497,0.570182,137,137,ITER_PNP_OK
18,137,137,0.000796,0.094493,0.561420,137,137,ITER_PNP_OK
19,137,137,0.000775,0.093762,0.601793,137,137,ITER_PNP_OK
20,137,137,0.000968,0.100175,0.644091,137,137,ITER_PNP_OK
21,137,137,0.001291,0.141467,0.587708,137,137,ITER_PNP_OK
22,137,137,0.001584,0.173132,0.728000,137,137,ITER_PNP_OK
23,137,137,0.001785,0.208387,0.782280,137,137,ITER_PNP_OK
24,137,137,0.002385,0.264566,0.813304,137,137,ITER_PNP_OK
25,137,137,0.002736,0.287848,0.923464,137,137,ITER_PNP_OK
26,137,137,0.002619,0.281889,0.954061,137,137,ITER_PNP_OK
27,137,137,0.002346,0.255851,0.918307,137,137,ITER_PNP_OK
28,137,137,0.002266,0.244927,0.933420,137,137,ITER_PNP_OK
29,137,137,0.001850,0.212453,0.885651,137,137,ITER_PNP_OK
30,137,137,0.001792,0.199212,0.870621,137,137,ITER_PNP_OK
31,137,137,0.001903,0.231783,0.939419,137,137,ITER_PNP_OK
32,137,137,0.001834,0.231328,0.913689,137,137,ITER_PNP_OK
33,137,137,0.001753,0.230636,0.920633,137,137,ITER_PNP_OK
34,137,137,0.001813,0.222862,0.953169,137,137,ITER_PNP_OK
35,137,137,0.001729,0.218937,0.887503,137,137,ITER_PNP_OK
36,137,137,0.001872,0.250584,0.850712,137,137,ITER_PNP_OK
37,137,137,0.001921,0.243242,0.855587,137,137,ITER_PNP_OK
38,137,137,0.002179,0.284104,0.729802,137,137,ITER_PNP_OK
39,137,137,0.002397,0.291785,0.914385,137,137,ITER_PNP_OK
40,137,137,0.002580,0.303567,0.981457,137,137,ITER_PNP_OK
41,137,137,0.002467,0.322271,1.063951,137,137,ITER_PNP_OK
42,137,137,0.002587,0.338965,1.064161,137,137,ITER_PNP_OK
43,137,137,0.002974,0.381354,1.216392,137,137,ITER_PNP_OK
44,137,137,0.002965,0.375043,1.277477,137,137,ITER_PNP_OK
45,137,135,0.003064,0.414886,1.060930,135,135,ITER_PNP_OK
46,135,135,0.003028,0.378264,1.067702,135,135,ITER_PNP_OK
47,135,135,0.003234,0.385320,0.970353,135,135,ITER_PNP_OK
48,135,135,0.003260,0.387842,0.952870,135,135,ITER_PNP_OK
49,135,135,0.003346,0.371681,0.979894,135,135,ITER_PNP_OK
50,135,135,0.003229,0.381600,1.046326,135,135,ITER_PNP_OK
51,135,135,0.003246,0.393207,1.025775,135,135,ITER_PNP_OK
52,135,135,0.003290,0.396874,1.091689,135,135,ITER_PNP_OK
53,135,135,0.003301,0.398080,1.151056,135,135,ITER_PNP_OK
54,135,135,0.003502,0.432839,1.186029,135,135,ITER_PNP_OK
55,135,135,0.003295,0.422742,1.243355,135,135,ITER_PNP_OK
56,135,135,0.003511,0.419216,1.161143,135,135,ITER_PNP_OK
57,135,135,0.003449,0.416906,1.320091,135,135,ITER_PNP_OK
